Selection	View	Channel	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Power (dB)	Occupancy	classification	Begin Time (s)	End Time (s)	spect_key
191	Spectrogram 1	1	2.56	40.0	75.0	80.4	1.0	bdt	111.742	114.302	MARS-20150818T000000Z-2khz.191
192	Spectrogram 1	1	2.048	40.0	75.0	73.9	1.0		224.382	226.43	MARS-20150818T000000Z-2khz.192
193	Spectrogram 1	1	3.584	40.0	75.0	79.7	1.0		344.702	348.285999	MARS-20150818T000000Z-2khz.193
194	Spectrogram 1	1	2.048	40.0	75.0	67.5	0.875		529.278	531.325999	MARS-20150818T000000Z-2khz.194
195	Spectrogram 1	1	6.4	40.0	75.0	71.8	0.92	bdf	866.174	872.574	MARS-20150818T000000Z-2khz.195
196	Spectrogram 1	1	2.56	40.0	75.0	72.9	1.0	bdt	1017.982	1020.542	MARS-20150818T000000Z-2khz.196
197	Spectrogram 1	1	2.048	40.0	75.0	81.4	0.875	bdt	1071.742	1073.79	MARS-20150818T000000Z-2khz.197
198	Spectrogram 1	1	2.8160000000000003	40.0	75.0	72.0	1.0	bdt	1095.038	1097.854	MARS-20150818T000000Z-2khz.198
199	Spectrogram 1	1	3.072	40.0	75.0	80.0	0.9167	bdt	1433.725999	1436.797999	MARS-20150818T000000Z-2khz.199
200	Spectrogram 1	1	2.048	40.0	75.0	73.8	1.0	bdt	1500.285999	1502.334	MARS-20150818T000000Z-2khz.200
201	Spectrogram 1	1	2.56	40.0	75.0	76.5	1.0	bdt	1602.685999	1605.246	MARS-20150818T000000Z-2khz.201
202	Spectrogram 1	1	4.096	40.0	75.0	81.3	1.0	bdt	1950.59	1954.685999	MARS-20150818T000000Z-2khz.202
203	Spectrogram 1	1	5.12	40.0	75.0	81.0	0.85	bdt	2009.725999	2014.846	MARS-20150818T000000Z-2khz.203
204	Spectrogram 1	1	2.3040000000000003	40.0	75.0	74.3	0.8889		2100.862	2103.166	MARS-20150818T000000Z-2khz.204
205	Spectrogram 1	1	2.8160000000000003	40.0	75.0	75.8	0.9091	bdt	2141.054	2143.87	MARS-20150818T000000Z-2khz.205
206	Spectrogram 1	1	2.3040000000000003	40.0	75.0	67.5	1.0	bdf	2191.486	2193.79	MARS-20150818T000000Z-2khz.206
207	Spectrogram 1	1	3.84	40.0	75.0	76.9	1.0	bdf	2771.07	2774.91	MARS-20150818T000000Z-2khz.207
208	Spectrogram 1	1	4.6080000000000005	40.0	75.0	72.4	1.0	bdf	2786.685999	2791.294	MARS-20150818T000000Z-2khz.208
209	Spectrogram 1	1	4.864	40.0	75.0	86.1	1.0	bdf	2825.085999	2829.95	MARS-20150818T000000Z-2khz.209
210	Spectrogram 1	1	2.048	40.0	75.0	71.8	1.0	bdf	2913.405999	2915.454	MARS-20150818T000000Z-2khz.210
211	Spectrogram 1	1	3.072	40.0	75.0	76.4	0.9167		2923.902	2926.974	MARS-20150818T000000Z-2khz.211
212	Spectrogram 1	1	2.048	40.0	75.0	76.8	0.875		3034.238	3036.285999	MARS-20150818T000000Z-2khz.212
213	Spectrogram 1	1	6.4	40.0	75.0	83.1	0.96	bdf	3053.182	3059.582	MARS-20150818T000000Z-2khz.213
